"Registrar Name","IANA Number","Country/Territory","Public Contact","Link"
"Network Solutions, LLC",2,"United States of America","Customer Service customerservice@newfold.com","http://www.networksolutions.com"
"Register.com - Network Solutions, LLC",9,"United States of America","Customer Service customerservice@newfold.com","http://www.register.com"
"eNom, LLC",48,"United States of America","Public Contact legal@enom.com","http://www.enom.com"
"GMO Internet Group, Inc. d/b/a Onamae.com",49,"Japan","Onamae.com Business Department onamae@internet.gmo","https://internet.gmo/"
"Tucows Domains Inc.",69,"Canada","Customer Support help@opensrs.com","http://www.tucows.com"
"Gandi SAS",81,"France","ICANN contact icann-contact@gandi.net","http://www.gandi.net"
"Name.com, Inc.",625,"United States of America","Registrar Contact abuse@name.com","http://www.name.com"
"NameCheap, Inc.",1068,"United States of America","Registrar Support support@namecheap.com","http://www.namecheap.com"
"GoDaddy.com, LLC",146,"United States of America","Registrar Support abuse@godaddy.com","http://www.godaddy.com"
"Amazon Registrar, Inc.",468,"United States of America","Registrar Contact registrar@amazon.com","http://registrar.amazon.com"
"Dynadot Inc",472,"United States of America","Registrar Support info@dynadot.com","http://www.dynadot.com"
"MarkMonitor Inc.",292,"United States of America","Domain Administrator ccops@markmonitor.com","http://www.markmonitor.com"
"Cloudflare, Inc.",1910,"United States of America","Registrar Public registrar-public@cloudflare.com","http://www.cloudflare.com"
"Squarespace Domains II LLC",895,"United States of America","Registrar Support registrar-abuse@squarespace.com","https://domains.squarespace.com"
"Squarespace Domains LLC",3827,"United States of America","Registrar Support registrar-abuse@squarespace.com","https://domains.squarespace.com"
"Porkbun LLC",1861,"United States of America","Registrar Support support@porkbun.com","https://porkbun.com"
"DNSimple Registrar LLC",1730,"United States of America","DNSimple Support support@dnsimpleregistrar.com","https://dnsimpleregistrar.com"
"Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn)",1599,"China","Registrar Support domainabuse@service.aliyun.com","https://www.alibabacloud.com"
"Chengdu West Dimension Digital Technology Co., Ltd.",1556,"China","Registrar Support abuse@west.cn","http://www.west.cn"
"Beijing Baidu Netcom Science Technology Co., Ltd.",3233,"China","Baidu Cloud bcd_registrar_rd@baidu.com","https://cloud.baidu.com/product/bcd.html"
"Japan Registry Services Co., Ltd.",1485,"Japan","Registrar Contact gtld-contact@jprs.co.jp","http://jprs.jp/registrar"
"Wix.com Ltd.",3817,"Israel","Registrar Group registrar@wix.com","http://www.wix.com"
